mese;Regioni di residenza;Strutture;Valori
Marzo;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;181
Aprile;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;283
Maggio;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;200
Giugno;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;162
Luglio;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;129
Agosto;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;53
Settembre;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;216
Ottobre;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;281
Novembre;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;363
Dicembre;CAMPANIA;Alberghi 5 stelle e 5stelle lusso;293
Gennaio;PUGLIA;Alberghi 5 stelle e 5stelle lusso;193
Febbraio;PUGLIA;Alberghi 5 stelle e 5stelle lusso;164
Marzo;PUGLIA;Alberghi 5 stelle e 5stelle lusso;103
Aprile;PUGLIA;Alberghi 5 stelle e 5stelle lusso;160
Maggio;PUGLIA;Alberghi 5 stelle e 5stelle lusso;158
Giugno;PUGLIA;Alberghi 5 stelle e 5stelle lusso;107
Luglio;PUGLIA;Alberghi 5 stelle e 5stelle lusso;73
Agosto;PUGLIA;Alberghi 5 stelle e 5stelle lusso;47
Settembre;PUGLIA;Alberghi 5 stelle e 5stelle lusso;132
Ottobre;PUGLIA;Alberghi 5 stelle e 5stelle lusso;165
Novembre;PUGLIA;Alberghi 5 stelle e 5stelle lusso;196
Dicembre;PUGLIA;Alberghi 5 stelle e 5stelle lusso;136
Gennaio;BASILICATA;Alberghi 5 stelle e 5stelle lusso;14
Febbraio;BASILICATA;Alberghi 5 stelle e 5stelle lusso;16
Marzo;BASILICATA;Alberghi 5 stelle e 5stelle lusso;15
Aprile;BASILICATA;Alberghi 5 stelle e 5stelle lusso;10
Maggio;BASILICATA;Alberghi 5 stelle e 5stelle lusso;10
Giugno;BASILICATA;Alberghi 5 stelle e 5stelle lusso;15
Luglio;BASILICATA;Alberghi 5 stelle e 5stelle lusso;12
Agosto;BASILICATA;Alberghi 5 stelle e 5stelle lusso;6
Settembre;BASILICATA;Alberghi 5 stelle e 5stelle lusso;17
Ottobre;BASILICATA;Alberghi 5 stelle e 5stelle lusso;27
Novembre;BASILICATA;Alberghi 5 stelle e 5stelle lusso;30
Dicembre;BASILICATA;Alberghi 5 stelle e 5stelle lusso;22
Gennaio;CALABRIA;Alberghi 5 stelle e 5stelle lusso;62
Febbraio;CALABRIA;Alberghi 5 stelle e 5stelle lusso;46
Marzo;CALABRIA;Alberghi 5 stelle e 5stelle lusso;61
Aprile;CALABRIA;Alberghi 5 stelle e 5stelle lusso;45
Maggio;CALABRIA;Alberghi 5 stelle e 5stelle lusso;46
Giugno;CALABRIA;Alberghi 5 stelle e 5stelle lusso;37
Luglio;CALABRIA;Alberghi 5 stelle e 5stelle lusso;54
Agosto;CALABRIA;Alberghi 5 stelle e 5stelle lusso;40
Settembre;CALABRIA;Alberghi 5 stelle e 5stelle lusso;36
Ottobre;CALABRIA;Alberghi 5 stelle e 5stelle lusso;69
Novembre;CALABRIA;Alberghi 5 stelle e 5stelle lusso;91
Dicembre;CALABRIA;Alberghi 5 stelle e 5stelle lusso;68
Gennaio;SICILIA;Alberghi 5 stelle e 5stelle lusso;180
Febbraio;SICILIA;Alberghi 5 stelle e 5stelle lusso;132
Marzo;SICILIA;Alberghi 5 stelle e 5stelle lusso;120
Aprile;SICILIA;Alberghi 5 stelle e 5stelle lusso;147
Maggio;SICILIA;Alberghi 5 stelle e 5stelle lusso;147
Giugno;SICILIA;Alberghi 5 stelle e 5stelle lusso;132
Luglio;SICILIA;Alberghi 5 stelle e 5stelle lusso;95
Agosto;SICILIA;Alberghi 5 stelle e 5stelle lusso;36
Settembre;SICILIA;Alberghi 5 stelle e 5stelle lusso;98
Ottobre;SICILIA;Alberghi 5 stelle e 5stelle lusso;187
Novembre;SICILIA;Alberghi 5 stelle e 5stelle lusso;246
